NHA_NAME,sex,age,day,month,year,fel_misd
Dodge Flower,1,21,4,0,2020,2
Dodge Flower,1,21,4,0,2020,2
West University,1,24,5,0,2020,2
West University,1,24,5,0,2020,2
Dodge Flower,1,21,4,0,2020,2
Downtown,1,26,4,0,2020,2
Dodge Flower,1,21,4,0,2020,2
West University,1,24,5,0,2020,4
Cherry Avenue,1,37,5,0,2020,2
Cherry Avenue,1,19,4,0,2020,2
Cherry Avenue,1,19,4,0,2020,2
Cherry Avenue,1,37,5,0,2020,5
Cherry Avenue,1,19,4,0,2020,2
Starr Pass,0,29,5,0,2020,2
Cherry Avenue,1,19,4,0,2020,1
Garden District,0,19,4,0,2020,1
Garden District,0,19,4,0,2020,1
Garden District,0,19,4,0,2020,2
Garden District,1,21,5,0,2020,2
Garden District,0,19,4,0,2020,1
Midvale Park,1,28,4,0,2020,5
Corbett,1,31,5,0,2020,1
Corbett,1,31,5,0,2020,1
Corbett,1,31,5,0,2020,1
Corbett,1,31,5,0,2020,2
Corbett,1,31,5,0,2020,2
Corbett,1,31,5,0,2020,2
Pie Allen,1,49,5,0,2020,2
Pie Allen,1,41,5,0,2020,2
Garden District,1,21,5,0,2020,1
Garden District,1,21,5,0,2020,1
Garden District,1,21,5,0,2020,1
Garden District,1,21,5,0,2020,1
Garden District,1,21,5,0,2020,1
Pie Allen,1,49,5,0,2020,2
Balboa Heights,1,14,5,0,2020,2
Balboa Heights,0,16,5,0,2020,2
Starr Pass,0,29,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,1
Barrio Santa Rosa,1,27,5,0,2020,1
Barrio Santa Rosa,1,27,5,0,2020,1
Balboa Heights,0,16,5,0,2020,2
Broadway/Northeast,0,71,4,0,2020,5
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,2
Barrio Santa Rosa,1,27,5,0,2020,5
Barrio Santa Rosa,1,27,5,0,2020,1
Barrio Santa Rosa,1,27,5,0,2020,2
Pie Allen,1,24,5,0,2020,2
Santa Rita Park - West Ochoa,0,40,5,0,2020,2
Broadway/Northeast,1,23,5,0,2020,2
Broadway/Northeast,1,23,5,0,2020,2
Barrio Blue Moon,1,69,5,0,2020,2
Barrio Blue Moon,1,69,5,0,2020,2
Millville,1,32,5,0,2020,2
Corbett,0,53,5,0,2020,2
Millville,1,32,5,0,2020,2
Miramonte,1,39,4,0,2020,1
Miramonte,1,39,4,0,2020,1
Miramonte,1,39,4,0,2020,1
Miramonte,1,39,4,0,2020,1
Miramonte,1,39,4,0,2020,1
Miramonte,1,39,4,0,2020,1
Miramonte,1,39,4,0,2020,1
Miramonte,1,39,4,0,2020,1
Miramonte,1,27,4,0,2020,1
Miramonte,1,27,4,0,2020,1
Miramonte,1,27,4,0,2020,1
Miramonte,1,27,4,0,2020,1
Miramonte,1,27,4,0,2020,1
Miramonte,1,27,4,0,2020,1
Miramonte,1,22,4,0,2020,1
Miramonte,1,22,4,0,2020,1
Miramonte,1,22,4,0,2020,1
Miramonte,1,22,4,0,2020,1
Miramonte,1,22,4,0,2020,1
Miramonte,0,22,4,0,2020,2
Midvale Park,1,28,5,0,2020,2
Midvale Park,1,28,5,0,2020,2
Midvale Park,1,28,5,0,2020,2
Miramonte,0,22,4,0,2020,1
Millville,1,32,5,0,2020,2
Amphi,1,28,5,0,2020,1
Amphi,1,28,5,0,2020,1
Amphi,1,28,5,0,2020,1
Amphi,1,28,5,0,2020,5
West University,1,29,5,0,2020,2
Sunnyside,1,53,5,0,2020,2
Duffy,1,29,5,0,2020,2
Duffy,1,29,5,0,2020,2
Duffy,1,29,5,0,2020,2
Amphi,1,21,5,0,2020,1
Amphi,1,21,5,0,2020,1
Amphi,1,21,5,0,2020,1
Duffy,1,29,5,0,2020,2
Sunnyside,1,39,2,0,2020,2
Broadway Pantano East,1,32,2,0,2020,2
Broadway Pantano East,1,32,2,0,2020,2
North University,1,23,2,0,2020,2
Broadway Pantano East,1,32,2,0,2020,2
North University,1,23,2,0,2020,4
Downtown,1,41,2,0,2020,2
Downtown,1,41,2,0,2020,2
Downtown,1,41,2,0,2020,2
Downtown,1,41,2,0,2020,2
Flowing Wells,1,31,1,0,2020,2
Flowing Wells,1,31,1,0,2020,4
Flowing Wells,1,31,1,0,2020,2
Midvale Park,0,22,2,0,2020,4
Midvale Park,0,22,2,0,2020,2
Midvale Park,0,22,2,0,2020,4
Midvale Park,1,34,2,0,2020,5
Houghton South,1,20,2,0,2020,2
Midvale Park,1,34,2,0,2020,2
Midvale Park,0,62,2,0,2020,5
Las Vistas,1,12,2,0,2020,1
Las Vistas,1,12,2,0,2020,1
Downtown,0,35,2,0,2020,1
Downtown,0,35,2,0,2020,1
Downtown,0,35,2,0,2020,1
Downtown,1,34,2,0,2020,1
Elvira,1,35,2,0,2020,2
Downtown,1,34,2,0,2020,1
Downtown,1,34,2,0,2020,1
Terra Del Sol,1,35,2,0,2020,1
Terra Del Sol,1,35,2,0,2020,1
Terra Del Sol,1,35,2,0,2020,1
West University,1,63,2,0,2020,2
West University,1,63,2,0,2020,2
Santa Cruz Southwest,0,40,2,0,2020,4
Santa Cruz Southwest,0,40,2,0,2020,2
Santa Cruz Southwest,0,40,2,0,2020,4
Amphi,0,32,2,0,2020,2
Amphi,0,32,2,0,2020,2
Amphi,0,32,2,0,2020,2
Amphi,0,32,2,0,2020,2
Santa Cruz Southwest,0,52,2,0,2020,4
Elvira,1,35,2,0,2020,1
Santa Cruz Southwest,0,52,2,0,2020,2
Elvira,1,35,2,0,2020,1
Doolen-Fruitvale,1,18,3,0,2020,2
Doolen-Fruitvale,1,18,3,0,2020,2
Elvira,1,35,2,0,2020,1
South Park,1,35,2,0,2020,2
Sugar Hill,1,20,2,0,2020,4
Armory Park,1,34,2,0,2020,4
Sugar Hill,1,20,2,0,2020,2
Barrio Santa Rosa,1,22,2,0,2020,1
Barrio Santa Rosa,1,22,2,0,2020,1
Armory Park,1,34,2,0,2020,2
Barrio Santa Rosa,1,22,2,0,2020,1
Barrio Santa Rosa,1,22,2,0,2020,1
Barrio Santa Rosa,1,22,2,0,2020,1
Barrio Santa Rosa,1,22,2,0,2020,1
Broadway Pantano East,1,  ,2,0,2020,2
Dodge Flower,1,32,2,0,2020,2
Dodge Flower,1,32,2,0,2020,2
Broadway Pantano East,1,  ,2,0,2020,2
Armory Park,1,43,2,0,2020,2
Armory Park,1,43,2,0,2020,1
Armory Park,1,43,2,0,2020,1
Copper Vista,0,21,6,0,2020,2
Copper Vista,0,21,6,0,2020,2
Dodge Flower,0,24,2,0,2020,2
Dodge Flower,0,24,2,0,2020,2
Armory Park,1,43,2,0,2020,1
Broadway/Northeast,0,44,4,0,2020,5
Amphi,1,50,2,0,2020,2
Amphi,1,50,2,0,2020,2
Amphi,1,50,2,0,2020,2
Sunnyside,0,48,2,0,2020,2
Santa Rita Park - West Ochoa,1,37,2,0,2020,2
Santa Rita Park - West Ochoa,1,37,2,0,2020,1
Santa Rita Park - West Ochoa,1,37,2,0,2020,2
Santa Rita Park - West Ochoa,1,37,2,0,2020,4
Pueblo Gardens,0,50,6,0,2020,2
Pueblo Gardens,0,50,6,0,2020,2
Julia Keen,1,12,6,0,2020,2
Julia Keen,1,12,6,0,2020,2
Julia Keen,1,12,6,0,2020,2
Julia Keen,1,12,6,0,2020,5
Rosemont West,1,31,0,0,2020,2
Sam Hughes,1,24,0,0,2020,2
Sam Hughes,1,24,0,0,2020,2
Sam Hughes,1,24,0,0,2020,4
Sam Hughes,1,24,0,0,2020,4
Sam Hughes,1,24,0,0,2020,4
Vista Del Monte,1,62,0,0,2020,2
Vista Del Monte,1,62,0,0,2020,2
Midvale Park,0,41,0,0,2020,2
West University,1,43,6,0,2020,2
Vista Del Monte,1,62,0,0,2020,2
