NHA_NAME,sex,age,day,month,MEDHINC_CY,WLTHINDXCY,fel_misd
Dodge Flower,1,21,4,0,25336.0,27.0,2
Dodge Flower,1,21,4,0,25336.0,27.0,2
West University,1,24,5,0,25427.0,30.0,2
West University,1,24,5,0,25427.0,30.0,2
Dodge Flower,1,21,4,0,25336.0,27.0,2
Downtown,1,26,4,0,36471.0,26.0,2
Dodge Flower,1,21,4,0,25336.0,27.0,2
West University,1,24,5,0,25427.0,30.0,4
Cherry Avenue,1,37,5,0,40610.0,40.0,2
Cherry Avenue,1,19,4,0,40610.0,40.0,2
Cherry Avenue,1,19,4,0,40610.0,40.0,2
Cherry Avenue,1,37,5,0,40610.0,40.0,5
Cherry Avenue,1,19,4,0,40610.0,40.0,2
Starr Pass,0,29,5,0,72693.0,160.0,2
Cherry Avenue,1,19,4,0,40610.0,40.0,1
Garden District,0,19,4,0,33611.0,31.0,1
Garden District,0,19,4,0,33611.0,31.0,1
Garden District,0,19,4,0,33611.0,31.0,2
Garden District,1,21,5,0,33611.0,31.0,2
Garden District,0,19,4,0,33611.0,31.0,1
Midvale Park,1,28,4,0,42660.0,39.0,5
Corbett,1,31,5,0,36153.0,34.0,1
Corbett,1,31,5,0,36153.0,34.0,1
Corbett,1,31,5,0,36153.0,34.0,1
Corbett,1,31,5,0,36153.0,34.0,2
Corbett,1,31,5,0,36153.0,34.0,2
Corbett,1,31,5,0,36153.0,34.0,2
Pie Allen,1,49,5,0,27001.0,26.0,2
Pie Allen,1,41,5,0,27001.0,26.0,2
Garden District,1,21,5,0,33611.0,31.0,1
Garden District,1,21,5,0,33611.0,31.0,1
Garden District,1,21,5,0,33611.0,31.0,1
Garden District,1,21,5,0,33611.0,31.0,1
Garden District,1,21,5,0,33611.0,31.0,1
Pie Allen,1,49,5,0,27001.0,26.0,2
Balboa Heights,1,14,5,0,16547.0,16.0,2
Balboa Heights,0,16,5,0,16547.0,16.0,2
Starr Pass,0,29,5,0,72693.0,160.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,1
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,1
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,1
Balboa Heights,0,16,5,0,16547.0,16.0,2
Broadway/Northeast,0,71,4,0,61502.0,98.0,5
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,5
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,1
Barrio Santa Rosa,1,27,5,0,35802.0,33.0,2
Pie Allen,1,24,5,0,27001.0,26.0,2
Santa Rita Park - West Ochoa,0,40,5,0,35631.0,30.0,2
Broadway/Northeast,1,23,5,0,61502.0,98.0,2
Broadway/Northeast,1,23,5,0,61502.0,98.0,2
Barrio Blue Moon,1,69,5,0,13231.0,16.0,2
Barrio Blue Moon,1,69,5,0,13231.0,16.0,2
Millville,1,32,5,0,41932.0,46.0,2
Corbett,0,53,5,0,36153.0,34.0,2
Millville,1,32,5,0,41932.0,46.0,2
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,39,4,0,29962.0,36.0,1
Miramonte,1,27,4,0,29962.0,36.0,1
Miramonte,1,27,4,0,29962.0,36.0,1
Miramonte,1,27,4,0,29962.0,36.0,1
Miramonte,1,27,4,0,29962.0,36.0,1
Miramonte,1,27,4,0,29962.0,36.0,1
Miramonte,1,27,4,0,29962.0,36.0,1
Miramonte,1,22,4,0,29962.0,36.0,1
Miramonte,1,22,4,0,29962.0,36.0,1
Miramonte,1,22,4,0,29962.0,36.0,1
Miramonte,1,22,4,0,29962.0,36.0,1
Miramonte,1,22,4,0,29962.0,36.0,1
Miramonte,0,22,4,0,29962.0,36.0,2
Midvale Park,1,28,5,0,42660.0,39.0,2
Midvale Park,1,28,5,0,42660.0,39.0,2
Midvale Park,1,28,5,0,42660.0,39.0,2
Miramonte,0,22,4,0,29962.0,36.0,1
Millville,1,32,5,0,41932.0,46.0,2
Amphi,1,28,5,0,20213.0,20.0,1
Amphi,1,28,5,0,20213.0,20.0,1
Amphi,1,28,5,0,20213.0,20.0,1
Amphi,1,28,5,0,20213.0,20.0,5
West University,1,29,5,0,25427.0,30.0,2
Sunnyside,1,53,5,0,33040.0,32.0,2
Duffy,1,29,5,0,30128.0,57.0,2
Duffy,1,29,5,0,30128.0,57.0,2
Duffy,1,29,5,0,30128.0,57.0,2
Amphi,1,21,5,0,20213.0,20.0,1
Amphi,1,21,5,0,20213.0,20.0,1
Amphi,1,21,5,0,20213.0,20.0,1
Duffy,1,29,5,0,30128.0,57.0,2
Sunnyside,1,39,2,0,33040.0,32.0,2
Broadway Pantano East,1,32,2,0,39611.0,42.0,2
Broadway Pantano East,1,32,2,0,39611.0,42.0,2
North University,1,23,2,0,20807.0,26.0,2
Broadway Pantano East,1,32,2,0,39611.0,42.0,2
North University,1,23,2,0,20807.0,26.0,4
Downtown,1,41,2,0,36471.0,26.0,2
Downtown,1,41,2,0,36471.0,26.0,2
Downtown,1,41,2,0,36471.0,26.0,2
Downtown,1,41,2,0,36471.0,26.0,2
Flowing Wells,1,31,1,0,30668.0,35.0,2
Flowing Wells,1,31,1,0,30668.0,35.0,4
Flowing Wells,1,31,1,0,30668.0,35.0,2
Midvale Park,0,22,2,0,42660.0,39.0,4
Midvale Park,0,22,2,0,42660.0,39.0,2
Midvale Park,0,22,2,0,42660.0,39.0,4
Midvale Park,1,34,2,0,42660.0,39.0,5
Houghton South,1,20,2,0,83642.0,91.0,2
Midvale Park,1,34,2,0,42660.0,39.0,2
Midvale Park,0,62,2,0,42660.0,39.0,5
Las Vistas,1,12,2,0,32250.0,29.0,1
Las Vistas,1,12,2,0,32250.0,29.0,1
Downtown,0,35,2,0,36471.0,26.0,1
Downtown,0,35,2,0,36471.0,26.0,1
Downtown,0,35,2,0,36471.0,26.0,1
Downtown,1,34,2,0,36471.0,26.0,1
Elvira,1,35,2,0,50687.0,49.0,2
Downtown,1,34,2,0,36471.0,26.0,1
Downtown,1,34,2,0,36471.0,26.0,1
Terra Del Sol,1,35,2,0,49048.0,58.0,1
